Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Adjusted_Cost,Profit,Profit_Percentage
49,6,Suburban,Gold,18,4.41,Night,Premium,148,443.7750198288772,778.6495051841209,334.87448535524373,75.46041809301788
31,8,Rural,Gold,7,3.57,Night,Economy,35,145.24203735141535,232.90030937305752,87.65827202164218,60.353237685279524
57,46,Rural,Regular,42,4.39,Morning,Economy,56,210.6317666138125,194.368173792539,-16.263592821273477,-7.721339037663927
64,19,Suburban,Regular,35,4.02,Afternoon,Economy,39,152.22919256822726,192.97535920501196,40.74616663678469,26.766329078782153
86,76,Suburban,Regular,84,4.99,Night,Economy,149,612.446726848697,611.5047476065137,-0.941979242183379,-0.15380590684683207
54,28,Suburban,Regular,73,3.56,Morning,Premium,51,250.28588237277447,264.7862711846843,14.500388811909858,5.793530451834696
85,37,Rural,Gold,10,3.76,Night,Premium,61,309.08254473187293,293.6961684075232,-15.386376324349726,-4.978079994034379
58,15,Rural,Regular,14,4.76,Night,Premium,12,94.1609176991503,129.53922449622908,35.37830679707878,37.57217714265972
96,27,Rural,Gold,21,4.37,Night,Premium,57,243.93730652889337,274.3667053653564,30.429398836463008,12.474270241587163
58,31,Suburban,Silver,32,4.87,Evening,Premium,85,331.19305388667465,335.0172547268303,3.8242008401556404,1.1546742286038942
77,45,Suburban,Silver,88,4.16,Morning,Economy,151,595.2312211886215,560.1488444536567,-35.08237673496478,-5.893907356692166
93,73,Rural,Regular,78,3.81,Night,Premium,106,465.962681649944,466.78908412421396,0.8264024742699689,0.17735378965193752
44,11,Rural,Regular,56,3.83,Afternoon,Premium,18,104.75201005936664,156.70196140166468,51.949951342298036,49.5932739742714
20,10,Rural,Regular,54,4.12,Morning,Premium,168,784.0551260339382,1165.2097267626732,381.154600728735,48.61324007366243
70,40,Suburban,Regular,9,3.77,Evening,Economy,130,382.9299378688001,353.0529283263298,-29.87700954247032,-7.802213038957224
42,12,Rural,Gold,92,4.5,Afternoon,Economy,123,319.2967130915861,463.8764045200601,144.57969142847395,45.280670141757184
87,33,Rural,Regular,53,4.15,Evening,Economy,143,640.1373391067773,647.0575417187085,6.920202611931245,1.0810496731197443
70,43,Suburban,Gold,47,4.31,Morning,Economy,57,243.4933853851045,226.32877779165045,-17.164607593454036,-7.04931165432146
61,15,Urban,Gold,29,4.49,Afternoon,Economy,32,135.005874109167,186.37492836552815,51.36905425636115,38.04949569440487
71,36,Suburban,Silver,69,4.37,Morning,Economy,110,392.9639432866157,373.4956650501748,-19.46827823644088,-4.954214901656085
81,33,Suburban,Regular,41,4.93,Afternoon,Premium,162,617.2885000560723,620.2759478889107,2.9874478328383702,0.48396298206867633
87,64,Rural,Silver,69,4.55,Evening,Premium,65,310.7883994951958,305.99344783833214,-4.794951656863645,-1.5428348241607281
85,65,Suburban,Regular,73,4.65,Afternoon,Premium,165,770.0708908209459,757.779767393456,-12.291123427489879,-1.596102848971052
91,65,Urban,Regular,40,3.58,Evening,Economy,141,373.50470759834695,369.6765754008762,-3.8281321974707794,-1.0249220744996366
83,57,Rural,Silver,80,4.6,Night,Premium,172,814.4195559447121,790.0469513553959,-24.37260458931621,-2.9926349891051456
64,10,Suburban,Gold,75,3.61,Morning,Premium,155,473.34669329802574,745.740660055213,272.39396675718723,57.54639688286238
69,22,Rural,Silver,25,4.41,Night,Premium,74,266.76777889406367,320.10364142498497,53.335862530921304,19.99336754687362
37,12,Rural,Silver,15,3.73,Evening,Economy,142,369.36165888010754,533.0282764466182,163.66661756651064,44.31066777822649
93,28,Urban,Silver,63,3.9,Evening,Economy,38,111.72394123957052,123.1756869879208,11.451745748350277,10.250037387952695
66,49,Rural,Gold,42,4.56,Afternoon,Economy,124,429.94835612457183,403.5306896598295,-26.417666464742354,-6.144381316598914
47,36,Rural,Silver,100,4.2,Morning,Economy,103,414.77830030238334,383.39451259223335,-31.38378771014999,-7.566400577674978
71,30,Rural,Regular,45,4.16,Evening,Premium,53,227.1825700126456,236.9759872616169,9.79341724897128,4.310813654597776
58,19,Urban,Silver,47,3.97,Evening,Economy,77,247.4420018201041,311.52970299377796,64.08770117367385,25.900090001804564
100,18,Suburban,Silver,50,4.89,Morning,Premium,51,213.8232968736634,287.0480490912204,73.22475221755698,34.2454509345731
94,28,Urban,Regular,59,4.45,Night,Economy,173,652.5878909594384,720.1512998459052,67.56340888646685,10.353150866335376
49,6,Rural,Silver,23,4.65,Night,Premium,69,289.6463054085282,508.214618460783,218.56831305225484,75.46041809301789
42,7,Rural,Gold,90,3.67,Evening,Economy,32,123.762469326047,208.03847010354536,84.27600077749837,68.09495741029278
79,63,Urban,Gold,56,4.66,Evening,Premium,70,292.5906288976858,285.3836015275579,-7.207027370127889,-2.4631777843603015
59,5,Rural,Gold,17,4.97,Evening,Premium,143,440.93951077757487,811.8731685598789,370.933657782304,84.12347923373457
54,7,Urban,Regular,91,3.75,Night,Economy,97,298.3226183929867,509.0745545244854,210.75193613149867,70.64564439222998
60,6,Rural,Silver,65,4.76,Morning,Economy,168,629.2044295696749,1118.6301911552334,489.4257615855586,77.78485633362219
26,13,Suburban,Silver,4,3.63,Night,Premium,123,441.99619244539696,611.9760347735539,169.97984232815696,38.457309188055014
90,10,Rural,Silver,59,4.44,Morning,Premium,147,691.5012905566776,1119.066886335183,427.5655957785053,61.831496429211754
34,12,Suburban,Silver,38,4.18,Afternoon,Economy,24,106.94859059241988,153.69868839371364,46.75009780129376,43.712682460171884
80,34,Suburban,Silver,84,3.8,Night,Economy,174,561.4385219871201,555.0016808918068,-6.436841095313298,-1.1464908165779486
21,7,Rural,Regular,58,4.31,Morning,Premium,75,328.45835687553256,535.7278327685899,207.26947589305735,63.10373036774368
97,71,Suburban,Silver,52,4.32,Evening,Economy,36,133.38738314122594,133.80168407982515,0.4143009385992116,0.3105997950050224
64,7,Suburban,Regular,92,4.58,Evening,Premium,16,114.6992021313152,198.01079858505204,83.31159645373684,72.63485264558007
47,34,Rural,Gold,16,4.38,Evening,Premium,46,237.14338896943252,225.8581957298897,-11.28519323954282,-4.758805754014702
44,28,Rural,Gold,30,3.93,Evening,Premium,42,157.10657171647188,164.1514784097264,7.044906693254518,4.484157865762844
21,9,Suburban,Gold,13,4.01,Evening,Economy,127,431.251597706785,660.8002589311552,229.54866122437022,53.22847786420124
57,37,Urban,Gold,59,3.92,Evening,Economy,159,585.8075881778408,540.1800732145151,-45.627514963325666,-7.788822795083693
62,5,Rural,Silver,51,4.4,Afternoon,Economy,160,647.204374917644,1195.7613355455358,548.5569606278917,84.75791911908738
25,6,Urban,Gold,60,3.91,Evening,Premium,145,559.578839787104,950.0478324176543,390.46899263055025,69.77908470933374
92,33,Suburban,Silver,70,3.69,Evening,Premium,46,173.1505322724627,175.86124835537063,2.710716082907936,1.565525700286305
38,7,Rural,Gold,46,3.79,Night,Economy,78,198.1704675081237,331.34125245122135,133.17078494309766,67.20011645410209
99,31,Urban,Silver,0,3.54,Morning,Economy,50,192.7088692483722,203.30799451203947,10.599125263667275,5.500071327805172
35,7,Rural,Regular,65,4.19,Night,Economy,65,165.0758241756551,274.8726495392137,109.79682536355858,66.51296512487811
30,13,Urban,Gold,53,3.68,Night,Premium,124,379.4680328899806,528.51215241466,149.04411952467945,39.27712128728691
28,6,Urban,Gold,53,4.48,Night,Premium,148,461.10955384851616,786.3881606229127,325.2786067743965,70.54258669323887
59,47,Rural,Silver,73,3.54,Night,Economy,75,234.5672445982206,217.46072097187698,-17.10652362634363,-7.292801539978271
24,13,Urban,Silver,50,4.26,Night,Premium,141,540.0620306756346,745.4916562636784,205.4296255880438,38.038153752642984
21,6,Suburban,Regular,15,3.81,Evening,Premium,80,318.8415033130425,537.993013231788,219.15150991874555,68.73368355172379
84,54,Suburban,Silver,59,4.98,Afternoon,Premium,43,196.31514152174805,189.6180564168678,-6.697085104880244,-3.411395093097459
100,50,Urban,Silver,83,4.91,Morning,Premium,173,622.4914304114809,605.6489459117222,-16.84248449975871,-2.705657247140808
30,11,Urban,Silver,99,4.96,Evening,Economy,83,349.6745279402746,513.1627155980842,163.48818765780965,46.754388608407275
45,35,Rural,Regular,0,4.58,Afternoon,Premium,41,206.1473318707726,192.90527209742677,-13.24205977334583,-6.423590183377619
53,35,Urban,Gold,35,3.92,Afternoon,Premium,166,635.9330544824535,601.0408467134725,-34.89220776898094,-5.486773729253238
65,41,Rural,Gold,51,3.57,Night,Premium,48,251.1121418065252,230.90354025736812,-20.208601549157066,-8.047640151437689
93,6,Rural,Silver,85,4.47,Night,Economy,107,324.098767437868,596.2523665469483,272.15359910908035,83.97242644906204
28,5,Rural,Regular,69,4.49,Morning,Premium,132,425.4887347951667,752.379074966906,326.89034017173935,76.82702582692505
38,8,Urban,Silver,78,3.57,Night,Economy,114,470.2690237026412,761.4967339696673,291.22771026702605,61.927895648762544
25,6,Urban,Regular,69,4.45,Evening,Premium,94,398.051725971793,675.8085770246155,277.75685105282247,69.77908470933374
76,23,Rural,Regular,64,3.57,Night,Premium,115,564.9317250247195,669.9611892746698,105.02946424995025,18.59153232107022
22,7,Suburban,Gold,73,4.91,Morning,Premium,73,238.31899146487595,389.31622293802786,150.9972314731519,63.359294425096735
40,5,Rural,Silver,17,4.55,Afternoon,Economy,72,184.9552256292673,332.6022514537966,147.64702582452932,79.82852353708554
89,16,Suburban,Regular,27,4.86,Afternoon,Economy,161,624.305615960136,867.1330360031772,242.82742004304112,38.89560078193281
31,21,Suburban,Silver,77,4.83,Afternoon,Economy,107,389.3845083155804,454.50151205972776,65.11700374414738,16.72305968869534
92,45,Rural,Silver,59,4.23,Morning,Premium,121,574.8939389332888,549.063403646748,-25.830535286540794,-4.493095775973765
58,32,Urban,Gold,92,4.59,Afternoon,Premium,111,517.9444619823878,515.6551584256837,-2.2893035567041125,-0.44199788292783365
58,20,Rural,Silver,42,3.51,Evening,Economy,125,527.1792011771714,650.151155242447,122.97195406527555,23.326404719815155
36,7,Suburban,Regular,26,4.35,Morning,Economy,59,201.49683080394212,335.9830438514603,134.4862130475182,66.74358723704903
66,40,Rural,Regular,93,4.86,Evening,Economy,153,627.0167510146084,575.579422568943,-51.43732844566546,-8.20350147941535
76,54,Urban,Regular,58,4.05,Evening,Economy,74,218.6251778894482,209.46527335461937,-9.159904534828826,-4.189775680576323
55,23,Urban,Gold,46,4.58,Afternoon,Premium,150,654.676536309137,758.4974677268121,103.82093141767518,15.858355334221287
21,8,Urban,Regular,57,4.78,Night,Premium,84,293.5602166445157,463.7097098517051,170.14949320718938,57.96067844343856
61,45,Rural,Gold,42,4.25,Afternoon,Economy,102,421.98526198279467,390.28360220641406,-31.70165977638061,-7.512504021449251
72,62,Suburban,Regular,48,3.82,Evening,Economy,126,553.7408048680613,535.3916054815556,-18.34919938650569,-3.3136801957149813
65,18,Rural,Gold,65,4.01,Morning,Economy,111,330.62430999065225,428.5853044163098,97.96099442565753,29.629096066295663
20,8,Rural,Silver,27,4.99,Morning,Economy,83,261.4451502998812,412.32834670398796,150.88319640410674,57.71122402960683
22,7,Suburban,Silver,16,4.1,Night,Economy,147,520.0637873298249,849.5725335424376,329.50874621261266,63.359294425096735
72,49,Suburban,Gold,15,4.34,Night,Premium,19,117.63327810103034,111.12552250050506,-6.507755600525286,-5.532240285725987
42,30,Urban,Regular,26,4.79,Afternoon,Economy,138,493.0149508584995,496.9231325307735,3.9081816722739973,0.7927105791555774
100,54,Suburban,Regular,91,4.59,Night,Premium,61,203.1132957396489,199.1679956909495,-3.94530004869938,-1.9424134861936737
87,32,Suburban,Silver,38,4.76,Afternoon,Economy,114,421.7762985074602,433.0496851352053,11.27338662774514,2.672835497783606
36,8,Urban,Gold,47,4.07,Afternoon,Economy,77,305.0088858607341,492.54592317414483,187.53703731341074,61.48576189319266
70,38,Urban,Silver,99,4.19,Morning,Economy,76,317.77188818101894,293.09691524684354,-24.6749729341754,-7.764995536710059
41,7,Urban,Gold,4,4.15,Night,Economy,83,364.9140560714328,612.5938845365719,247.67982846513905,67.87346892898395
59,40,Rural,Gold,64,4.72,Night,Economy,157,398.3194964103068,362.75935075944443,-35.56014565086235,-8.927543334266531
33,14,Urban,Regular,38,4.89,Morning,Economy,127,461.3060120664082,629.4885504812207,168.18253841481254,36.45791167156987
70,26,Urban,Silver,15,3.67,Night,Premium,70,358.2348071386952,399.578517927126,41.34371078843077,11.540953018678618
45,7,Rural,Regular,87,4.35,Evening,Economy,74,224.3071067625652,378.5201063371861,154.2129995746209,68.75083085880969
98,71,Suburban,Regular,83,4.55,Morning,Economy,139,558.3815496134125,560.6282661872526,2.2467165738401036,0.4023622512949408
75,63,Urban,Gold,42,4.55,Evening,Premium,138,660.4425622593634,641.5262023659774,-18.916359893386016,-2.8641945529181907
100,34,Rural,Gold,33,4.75,Night,Economy,156,537.4486716625657,541.5270260065598,4.078354343994079,0.7588360636147691
76,23,Urban,Silver,53,3.94,Evening,Economy,117,480.104370355134,569.3631295445795,89.25875918944547,18.591532321070233
32,12,Urban,Silver,69,3.68,Morning,Economy,55,162.28310451017555,232.56308620616892,70.27998169599337,43.307023185267354
35,23,Suburban,Gold,58,3.78,Afternoon,Economy,164,638.0445145215127,720.4632801813714,82.41876565985865,12.91740055498585
30,16,Suburban,Gold,89,3.63,Afternoon,Economy,142,420.1110979571745,544.5659144309482,124.45481647377369,29.62426298161265
75,56,Urban,Regular,66,3.69,Evening,Premium,22,124.49060049402551,119.57952545029462,-4.911075043730889,-3.9449364243098652
25,6,Rural,Regular,23,3.95,Morning,Premium,55,235.27811761739352,399.4530346121604,164.1749169947669,69.77908470933374
88,16,Suburban,Gold,26,4.18,Morning,Economy,32,127.33149010162909,176.6878283561772,49.356338254548106,38.76208329546332
43,26,Rural,Silver,69,4.9,Evening,Economy,107,391.0269903920518,422.44967508234197,31.42268469029017,8.03593753433366
39,20,Rural,Silver,97,4.25,Morning,Economy,121,319.5430197104816,384.82022111629755,65.27720140581596,20.42829834460463
77,63,Suburban,Gold,72,4.56,Morning,Economy,113,380.2853707615285,370.15967773359125,-10.125693027937245,-2.662656469708619
41,14,Suburban,Silver,59,4.72,Morning,Premium,49,179.62342246641472,247.8066858866943,68.18326342027959,37.959004724469175
51,20,Rural,Silver,97,4.8,Morning,Economy,130,452.112640122952,552.9255209864613,100.81288086350929,22.2981779133831
30,10,Suburban,Gold,86,4.95,Evening,Economy,149,565.6691466337952,853.5089170638333,287.83977043003813,50.88482766700741
29,8,Urban,Gold,52,4.68,Afternoon,Premium,121,402.1558775823215,643.002352317028,240.84647473470648,59.88883618526876
21,5,Rural,Gold,8,4.44,Afternoon,Premium,159,689.8421599513094,1206.888966333083,517.0468063817736,74.95146518998897
50,15,Suburban,Regular,62,4.51,Night,Economy,83,307.6469280930268,419.191498615326,111.54457052229918,36.2573327852538
61,42,Rural,Gold,11,3.72,Night,Economy,52,186.5262770863605,171.2068901496183,-15.319386936742205,-8.212991314703304
67,5,Suburban,Silver,81,4.53,Morning,Premium,14,91.06777716361007,169.19644185357689,78.12866468996681,85.79177742485447
73,22,Suburban,Regular,26,4.99,Night,Economy,33,143.8549860520897,173.3565095664741,29.501523514384388,20.507821330365235
35,18,Urban,Gold,27,3.82,Morning,Economy,158,553.837359075948,691.7030236767171,137.86566460076904,24.892806948016563
96,58,Urban,Silver,25,3.61,Morning,Economy,85,336.56848365859423,331.1378828792417,-5.430600779352517,-1.613520291716074
38,28,Urban,Gold,8,4.83,Morning,Economy,29,95.02020685904614,98.49551372786051,3.4753068688143713,3.6574398053770536
75,28,Urban,Gold,6,4.02,Evening,Premium,171,575.0117219060105,622.7733158719781,47.76159396596756,8.306194838541833
57,26,Suburban,Silver,92,4.11,Afternoon,Premium,58,264.675747588135,290.938878466631,26.263130878496042,9.922756851664554
36,10,Rural,Gold,65,3.54,Night,Economy,53,185.61792391524813,282.4548576723447,96.83693375709657,52.170033860152245
73,27,Rural,Gold,98,3.97,Evening,Economy,57,251.1556502722435,276.15188520353263,24.996234931289138,9.952487592532416
68,29,Rural,Gold,51,3.99,Evening,Economy,110,299.689056274687,316.787013444952,17.097957170264976,5.705232410820315
25,9,Rural,Gold,11,3.58,Night,Economy,31,92.65681121424488,142.85624739768699,50.1994361834421,54.177815452086854
97,25,Urban,Regular,95,4.91,Night,Premium,101,332.2293764400841,387.5163612736115,55.28698483352741,16.6412089821618
30,7,Rural,Regular,85,3.74,Evening,Economy,44,184.11208970364285,304.40226647778593,120.29017677414308,65.33529491070841
83,7,Suburban,Gold,24,4.9,Morning,Premium,24,124.5817744544144,219.4215877870513,94.8398133326369,76.12655522685596
27,5,Rural,Gold,2,4.3,Evening,Economy,22,60.98181721983856,107.6726122516108,46.69079503177224,76.56510933980961
58,21,Suburban,Gold,72,4.14,Afternoon,Economy,10,35.88598786056829,43.37500494098239,7.489017080414101,20.868917164861085
32,15,Urban,Gold,67,3.76,Evening,Premium,23,132.12301879164062,175.7813595946661,43.65834080302548,33.0437051789402
76,8,Urban,Gold,40,4.68,Afternoon,Economy,157,561.5796822292014,951.1244510145009,389.54476878529954,69.36589429998502
21,9,Suburban,Regular,38,4.54,Morning,Economy,179,546.3787898746884,837.2079030978276,290.8291132231392,53.22847786420125
47,37,Urban,Gold,53,4.69,Night,Economy,41,147.4597413359118,134.3280597650911,-13.131681570820689,-8.905265567302775
33,20,Suburban,Regular,97,4.13,Morning,Premium,169,668.8922140357987,798.8998499579923,130.00763592219357,19.43626090933025
92,66,Rural,Silver,26,3.56,Evening,Economy,19,62.06928479024478,61.57598955853604,-0.4932952317087427,-0.7947493407983851
24,7,Rural,Silver,34,3.51,Afternoon,Premium,111,477.7411361723483,782.8482276201757,305.10709144782743,63.86452167220492
75,9,Rural,Gold,71,4.06,Night,Economy,150,411.0057654245888,674.548068061645,263.54230263705625,64.12131527274425
89,76,Urban,Gold,35,4.8,Night,Premium,177,650.2985711974341,651.1853721290817,0.8868009316475991,0.1363682731171743
67,20,Urban,Regular,42,4.13,Evening,Economy,68,243.22861759627588,303.03510145216984,59.80648385589396,24.588588483927502
61,23,Suburban,Silver,51,4.73,Evening,Premium,150,680.9330686248741,794.4600478013527,113.52697917647868,16.672266982971372
80,67,Rural,Regular,80,4.74,Night,Economy,147,432.30725774113824,424.4477024583978,-7.859555282740416,-1.8180484231996512
66,15,Suburban,Gold,62,4.59,Night,Economy,161,720.729944900258,1000.5691738616661,279.839228961408,38.82719608661952
39,12,Suburban,Regular,54,3.77,Morning,Premium,176,510.4543750320455,738.6405793895065,228.18620435746095,44.702566089895065
46,22,Urban,Regular,9,4.33,Morning,Economy,128,522.7974318549136,610.6210240372795,87.82359218236593,16.798780336537437
89,74,Rural,Silver,41,4.89,Morning,Premium,115,432.16279228896633,431.7874551271033,-0.37533716186300126,-0.08685087392068484
60,16,Urban,Gold,56,4.33,Night,Premium,126,382.4570671338528,515.3001722332073,132.8431050993545,34.734122210078525
58,13,Rural,Regular,99,3.62,Morning,Premium,106,351.43931589566165,507.5924540042164,156.15313810855474,44.43246132282901
68,16,Urban,Silver,93,4.44,Morning,Premium,154,510.19578633034166,693.5942967517177,183.39851042137605,35.94669249240509
45,19,Suburban,Silver,71,3.72,Night,Economy,121,313.92644056486665,388.9996865277039,75.07324596283723,23.914279354027475
91,61,Suburban,Gold,100,4.88,Night,Economy,101,372.2298219510593,366.2650396231292,-5.964782327930095,-1.6024461169353441
39,12,Urban,Regular,70,4.02,Morning,Premium,66,314.46800852423786,455.04327786636213,140.57526934212427,44.702566089895065
97,9,Rural,Gold,58,4.32,Evening,Premium,142,491.5779538643877,824.3152750271909,332.73732116280314,67.68760041964694
42,18,Suburban,Silver,39,3.94,Afternoon,Economy,128,527.1558943563921,664.634872470051,137.47897811365897,26.07937795735129
27,15,Urban,Gold,11,3.77,Evening,Economy,111,432.849396942834,571.6997731035005,138.85037616066654,32.07821869254086
67,48,Rural,Regular,94,4.3,Evening,Premium,168,544.6027807887253,510.59790526838196,-34.004875520343376,-6.243977577766963
69,51,Urban,Regular,75,3.57,Night,Premium,136,470.18271352951473,444.5792593714348,-25.603454158079956,-5.445426516403129
69,47,Urban,Regular,65,4.22,Night,Economy,18,53.5391040086766,50.19367830638229,-3.345425702294314,-6.248564977389518
93,18,Suburban,Gold,34,3.54,Afternoon,Economy,80,352.0685727015968,469.60366150826036,117.53508880666357,33.384146703228446
84,74,Suburban,Regular,7,4.4,Afternoon,Premium,101,396.3698341114785,394.1035774443172,-2.266256667161315,-0.5717530629548194
96,48,Urban,Gold,41,4.39,Morning,Economy,130,367.7829980600229,355.01286457489476,-12.770133485128156,-3.4721924483969877
30,13,Suburban,Gold,72,4.18,Night,Premium,113,352.9356730761453,491.5586454563653,138.62297238022,39.27712128728692
60,48,Suburban,Regular,15,4.06,Morning,Economy,78,339.1055825696459,315.44103260185517,-23.66454996779072,-6.97851972487963
72,39,Urban,Regular,39,3.77,Night,Premium,115,347.8959667426787,320.5064218587528,-27.389544883925907,-7.872912451492888
31,13,Suburban,Regular,82,4.63,Morning,Economy,108,469.2509135918648,654.5034965318098,185.252582939945,39.47836382926472
71,13,Rural,Silver,60,4.3,Night,Premium,62,213.8430201203033,313.37487996534054,99.53185984503725,46.544357533410654
91,61,Rural,Silver,86,4.44,Morning,Premium,129,567.5392184514062,558.4447082832464,-9.094510168159786,-1.602446116935349
91,60,Rural,Gold,2,3.53,Evening,Premium,107,492.179013222281,483.53947568410445,-8.639537538176569,-1.7553648786472587
32,6,Urban,Silver,13,4.75,Afternoon,Economy,53,173.88747446193491,298.2775170220838,124.39004256014891,71.53479164905502
23,10,Suburban,Gold,47,4.84,Evening,Economy,125,418.10682439062094,624.2876498568041,206.1808254661832,49.31295387648504
61,47,Suburban,Silver,100,4.58,Night,Premium,157,658.3040013013618,611.7011378433192,-46.602863458042634,-7.079231383360304
57,40,Urban,Regular,78,3.62,Afternoon,Economy,171,764.5953413909641,694.7129673523699,-69.88237403859421,-9.139785485936008
89,70,Suburban,Gold,86,4.51,Afternoon,Economy,90,384.2092919756728,382.0527041559847,-2.1565878196880703,-0.5613054823839659
64,45,Rural,Gold,22,3.96,Night,Premium,118,404.6018875393623,375.4780772718172,-29.123810267545082,-7.198139990069061
91,29,Urban,Regular,82,3.73,Afternoon,Premium,90,446.81702579708536,483.4752609479275,36.65823515084213,8.204305797310836
91,53,Suburban,Gold,67,4.56,Night,Economy,50,158.1067231747087,153.46333648207198,-4.64338669263671,-2.9368685906580616
69,37,Suburban,Regular,47,4.39,Evening,Premium,60,284.2362895344896,265.66898246428707,-18.567307070202503,-6.532349229794432
71,61,Suburban,Regular,79,3.85,Afternoon,Economy,147,591.2989763287625,570.2303720626649,-21.068604266097623,-3.5631051480771494
38,7,Rural,Silver,28,3.85,Evening,Economy,12,36.00027803358747,60.19250679595878,24.192228762371307,67.20011645410207
100,32,Suburban,Regular,67,3.94,Evening,Premium,162,581.1370845965885,603.9686053664183,22.831520769829808,3.928766787560788
65,51,Suburban,Gold,97,4.81,Night,Premium,144,588.1367698544636,553.673889113684,-34.46288074077961,-5.859671169566147
73,38,Urban,Regular,91,4.23,Evening,Premium,86,400.2673330229722,370.3692615410534,-29.898071481918805,-7.469525743236931
56,25,Suburban,Regular,87,3.73,Evening,Premium,172,575.4102708388258,643.1828418646572,67.77257102583144,11.77813022472356
75,55,Rural,Silver,80,4.7,Morning,Economy,69,190.9788526811355,183.1201814826959,-7.858671198439595,-4.114943140621275
97,21,Urban,Regular,43,3.79,Afternoon,Premium,106,398.1593839328215,501.00993607370646,102.85055214088493,25.83150273264391
94,71,Rural,Regular,48,4.73,Night,Premium,169,770.8733244527833,771.1259590503238,0.2526345975404638,0.03277251780891504
53,22,Urban,Silver,28,4.99,Afternoon,Premium,64,211.0820229741896,248.69134382765185,37.609320853462236,17.817396443116795
81,8,Rural,Silver,78,4.8,Afternoon,Premium,141,618.4288567281086,1052.765979918562,434.3371231904533,70.23235065200217
47,34,Rural,Silver,87,3.53,Morning,Premium,170,739.2271199769044,704.0487372562063,-35.178382720698096,-4.758805754014703
80,48,Suburban,Regular,13,4.44,Night,Economy,35,128.7410738814351,122.36653346693812,-6.374540414496991,-4.951442630009179
75,55,Rural,Gold,54,4.73,Night,Premium,145,584.4917299915722,560.4402276407853,-24.051502350786905,-4.114943140621288
89,12,Urban,Silver,42,4.73,Afternoon,Economy,102,328.31398217312767,502.7016291335004,174.3876469603727,53.11611945555642
30,13,Rural,Gold,8,4.1,Afternoon,Economy,94,274.6803754439265,382.5669196594126,107.88654421548608,39.27712128728692
64,5,Rural,Gold,91,4.34,Evening,Premium,21,108.2430435427408,200.43897055109917,92.19592700835837,85.17492116890996
55,29,Suburban,Gold,92,4.85,Morning,Economy,44,181.78093960037765,189.32651944614454,7.545579845766895,4.150919157066134
94,76,Suburban,Gold,26,4.7,Morning,Premium,94,405.317954516569,407.79392257833274,2.4759680617637514,0.6108705607963726
53,28,Urban,Gold,6,3.67,Evening,Economy,178,775.7916851510323,819.749484803331,43.95779965229872,5.6661859741047556
29,7,Suburban,Regular,68,3.98,Morning,Economy,114,289.1296809487768,477.33768431309403,188.20800336431722,65.09466712193439
29,17,Urban,Silver,76,3.61,Morning,Economy,166,674.132847635612,853.1848625925403,179.05201495692825,26.560345721903012
75,42,Suburban,Silver,38,4.25,Afternoon,Economy,146,479.11995337350106,446.53967357587106,-32.58027979763,-6.800025665437446
74,53,Suburban,Regular,60,3.93,Night,Economy,162,676.4404324115253,645.5397343831274,-30.90069802839787,-4.568132912788224
89,75,Urban,Silver,10,4.91,Evening,Economy,16,54.44953818628992,54.46362237554581,0.014084189255889612,0.025866499009969436
29,13,Suburban,Gold,44,4.29,Evening,Premium,87,267.7404170012178,372.35842770021566,104.61801069899786,39.07441837536319
40,20,Rural,Silver,45,4.42,Evening,Premium,130,445.4842486108808,537.2082919336732,91.7240433227924,20.589738831127793
79,11,Urban,Regular,1,4.35,Night,Premium,45,210.25675967194184,327.38150570701225,117.12474603507042,55.70557932016889
98,87,Urban,Gold,87,4.28,Afternoon,Premium,170,603.8458024755097,616.3954219239952,12.549619448485487,2.0782821371014606
95,76,Urban,Regular,74,4.39,Night,Economy,118,464.9915827255092,468.2671923786589,3.2756096531496723,0.7044449350996765
79,13,Rural,Gold,67,4.05,Evening,Premium,151,514.9363491532515,760.9329819842844,245.9966328310329,47.77224082851087
38,22,Suburban,Regular,18,4.17,Night,Premium,121,450.5387531372676,520.7221126161079,70.18335947884032,15.57765208655808
83,41,Suburban,Silver,48,3.64,Evening,Economy,176,741.3443926126964,694.6956937012687,-46.64869891142769,-6.29244644948688
59,24,Suburban,Regular,40,4.0,Afternoon,Premium,147,631.6312970255759,721.6032327955608,89.97193576998484,14.244375823945548
51,11,Suburban,Regular,72,3.62,Afternoon,Economy,16,71.21364105240121,107.47395595313341,36.2603149007322,50.91765336650984
64,46,Rural,Silver,51,5.0,Evening,Premium,29,144.60138253530263,134.51168677595828,-10.089695759344352,-6.97759287113391
30,6,Rural,Regular,93,3.81,Evening,Economy,129,505.92196882791006,865.3404522898305,359.41848346192046,71.04227639977758
60,15,Suburban,Regular,95,4.84,Afternoon,Economy,180,726.3339146351499,1001.5513024514973,275.21738781634747,37.89130347225958
75,51,Rural,Regular,17,4.83,Afternoon,Premium,79,283.4132787585248,269.6945560327026,-13.718722725822204,-4.840536331224938
25,15,Suburban,Regular,88,4.68,Afternoon,Premium,31,148.18648820169864,195.1348800589656,46.948391857266955,31.68196535797843
46,31,Suburban,Gold,67,3.53,Morning,Economy,61,158.59209307103367,158.09491353741723,-0.4971795336164462,-0.313495789095714
